make,model_name,model_details,price,kms,year,transmission,detailsLink,type1,type2,type 3,,,
Nissan,navara, 2.3 LE 4x4 D/C Man 2018,"349,900","169,000",2018,Manual,https://www.namcars.net/Nissan-Navara-2.3-LE-4x4-D-C-Man-2018-1400727886,4x4,Bakkie,,,,
Toyota,hilux, 2.5 D4D SRX,"259,000","169,000",2015,Manual,https://www.namcars.net/Toyota-Hilux-2.5-D4D-SRX-1400733021,,,,,,
Toyota,toyota, Hilux 2.8GD6 4x4 A/T,"449,900","168,200",2016,Automatic,https://www.namcars.net/Toyota-Toyota-Hilux-2.8GD6-4x4-A-T-1400734709,4x4,Bakkie,,,,
Toyota,rav4, 2.0 GX AT 2WD,"260,000","167,000",2017,Automatic,https://www.namcars.net/Toyota-Rav4-2.0-GX-AT-2WD-1400733212,,,SUV,,,
Nissan,np200, 1.6 A/C Safety Pack P/...,"169,900","167,000",2021,Manual,https://www.namcars.net/Nissan-NP200-1.6-A-C-Safety-Pack-P-U-S-C-NO-DEPOSIT-DEAL-1400735073,,,,,,
Ford,everest, 3.2 TDCi XLT 4x4 Auto,"299,900","167,000",2017,Automatic,https://www.namcars.net/Ford-Everest-3.2-TDCi-XLT-4x4-Auto-1400735126,4x4,,SUV,,,
Volkswagen,golf, 1.8 MK2 GTS,"74,900","165,500",1991,Manual,https://www.namcars.net/Volkswagen-Golf-1.8-MK2-GTS-1400735108,,,,,,
Isuzu,kb, 300 LX 4x4 D/CAB Auto,"399,000","165,000",2018,Automatic,https://www.namcars.net/Isuzu-KB-300-LX-4x4-D-CAB-Auto-1400733988,4x4,Bakkie,,,,
Isuzu,d-max, 250 HO X-Rider M/T 4x4...,"374,900","165,000",2019,Manual,https://www.namcars.net/Isuzu-D-Max-250-HO-X-Rider-M-T-4x4-P-U-D-C-1400735061,4x4,Bakkie,,,,
Toyota,landcruiser, 4.0 V6 D/C 4x4,"615,000","165,000",2018,Manual,https://www.namcars.net/Toyota-Landcruiser-4.0-V6-D-C-4x4-1400732867,4x4,Bakkie,,,,
Ford,fiesta, 1.4 Ambiente,"129,900","165,000",2016,Manual,https://www.namcars.net/Ford-Fiesta-1.4-Ambiente-1400733933,,,,,,
Nissan,qashqai, 1.6 Acenta,"110,000","164,200",2012,Manual,https://www.namcars.net/Nissan-Qashqai-1.6-Acenta-1400731923,,,SUV,,,
